[ERROR]	[04/07/13 13:49:23]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/07/13 13:51:22]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/07/13 14:17:48]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/07/13 14:17:59]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[ERROR]	[04/07/13 16:04:03]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/07/13 16:12:53]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/07/13 17:33:35]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:38:59]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[ERROR]	[04/07/13 17:40:41]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/07/13 17:41:35]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:42:27]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:43:28]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:44:01]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:44:41]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:47:15]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:48:11]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:48:39]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:49:21]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:50:08]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:51:02]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:52:28]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 17:53:31]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/07/13 18:00:59]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/07/13 18:01:20]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/08/13 09:07:22]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 09:24:31]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 09:24:53]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/08/13 10:31:24]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/08/13 10:43:37]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[ERROR]	[04/08/13 13:49:49]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/08/13 14:39:50]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 16:04:08]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/08/13 16:04:21]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/08/13 16:04:29]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/08/13 16:29:50]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 16:30:22]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 16:33:16]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 16:33:23]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 16:33:23]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 16:59:42]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 16:59:44]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 16:59:44]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 16:59:44]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:01:55]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:02:36]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:02:44]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:03:33]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:03:36]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:03:36]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:05:32]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:05:52]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:05:53]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:08:40]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:08:41]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[ERROR]	[04/08/13 17:08:57]	 [CUpdataDownload]  [更新失败下载时间超时!]	 [0] ; 
[MSG]  	[04/08/13 17:11:18]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:11:20]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:11:22]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:13:22]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:13:41]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:13:44]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:13:50]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:13:52]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:13:55]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:15:02]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:15:33]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:15:35]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:15:35]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:17:07]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:17:23]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/08/13 17:17:24]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[MSG]  	[04/08/13 17:17:24]	 [CDownloadDlg]  [接收服务器服务类型U]	 [0] ; 
[ERROR]	[04/08/13 17:19:50]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/08/13 17:29:47]	 [CUpdataDownload]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/08/13 17:31:59]	 [CUpdataDownload]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/08/13 17:32:30]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/08/13 17:32:37]	 [CUpdataDownload]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/08/13 17:32:58]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/08/13 17:38:23]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/08/13 17:49:35]	 [CLoginTestDlg]  [获取离线文件夹信息错误!]	 [2] ; 
[ERROR]	[04/08/13 17:53:47]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/08/13 17:59:23]	 [CPackThrea]  [离线包路径错误!]	 [0] ; 
[ERROR]	[04/08/13 18:06:19]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/09/13 10:14:33]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/09/13 10:15:11]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/09/13 10:17:25]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/09/13 10:17:29]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/09/13 10:17:36]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/09/13 10:17:42]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[ERROR]	[04/09/13 10:19:06]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/09/13 10:45:23]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/09/13 10:55:15]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[ERROR]	[04/09/13 10:56:04]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/09/13 10:58:14]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/09/13 10:58:20]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/09/13 10:59:41]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/09/13 10:59:47]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/09/13 11:00:07]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/09/13 11:00:12]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/09/13 11:00:20]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/09/13 11:00:26]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/09/13 11:00:31]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[ERROR]	[04/09/13 11:21:56]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/09/13 11:22:14]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/09/13 13:55:54]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/09/13 14:29:40]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/10/13 10:21:06]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/10/13 10:21:16]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/10/13 10:23:21]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/10/13 10:23:41]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/10/13 11:12:08]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[MSG]  	[04/10/13 11:13:40]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
[ERROR]	[04/10/13 17:12:47]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/10/13 17:12:54]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/11/13 13:09:59]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/12/13 13:20:17]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/12/13 13:23:38]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/12/13 13:23:45]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/12/13 13:24:31]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/12/13 13:24:36]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[ERROR]	[04/12/13 13:25:15]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/12/13 16:26:21]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/12/13 16:48:14]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/12/13 16:48:24]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[MSG]  	[04/15/13 09:32:20]	 [CDownloadDlg]  [接收服务器服务类型M]	 [0] ; 
[MSG]  	[04/15/13 09:32:25]	 [CDownloadDlg]  [接收服务器服务类型D]	 [0] ; 
[ERROR]	[04/19/13 15:27:08]	 [CDownloadDlg]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[ERROR]	[04/19/13 15:27:13]	 [CUpdataDownload]  [连接服务程序错误或服务程序没有启动!]	 [0] ; 
[MSG]  	[04/22/13 17:53:29]	 [CDownloadDlg]  [接收服务器服务类型V]	 [0] ; 
